Rk,Player,SOS,Age,G,GS,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,FL,TD,PPR
60,Samaje Perine,3,26,16,0,55,246,4.47,1,31,27,196,7.26,1,0,0,2,83.2
61,David Johnson,19,30,13,4,67,228,3.4,0,42,32,225,7.03,1,1,1,1,81.3
62,Ronald Jones II,4,24,16,3,101,428,4.24,4,13,10,64,6.4,0,2,2,4,79.2
63,Khalil Herbert,24,23,17,2,103,433,4.2,2,16,14,96,6.86,0,1,0,2,78.9
64,Kyle Juszczyk,5,30,17,16,8,22,2.75,1,38,30,296,9.87,1,0,0,2,73.8
65,Jeremy McNichols,24,26,14,0,41,156,3.8,0,38,28,240,8.57,1,0,0,1,73.6
66,Dontrell Hilliard,24,26,8,5,56,350,6.25,2,26,19,87,4.58,0,2,1,2,72.7
67,Alex Collins,11,27,11,6,108,411,3.81,2,10,9,87,9.67,0,1,1,2,68.8
68,Jordan Howard,30,27,7,0,86,406,4.72,3,5,2,19,9.5,0,0,0,3,62.5
69,Travis Homer,11,23,14,0,21,177,8.43,1,20,16,161,10.06,0,0,0,2,61.8
70,Damien Williams,24,29,12,2,40,164,4.1,2,23,16,103,6.44,1,0,0,3,60.7
71,DeeJay Dallas,11,23,17,0,33,138,4.18,2,23,21,133,6.33,0,1,0,2,60.1
72,Duke Johnson,21,28,5,4,71,330,4.65,3,5,4,41,10.25,0,0,0,3,59.1
73,Giovani Bernard,4,30,12,0,8,58,7.25,0,29,23,123,5.35,3,1,0,3,59.1
74,Derrick Gore,5,27,11,0,51,256,5.02,2,9,8,105,13.13,0,0,0,2,56.1
75,Jaret Patterson,31,22,17,1,68,266,3.91,2,11,10,73,7.3,0,1,0,2,55.9
76,Tevin Coleman,17,28,11,5,84,356,4.24,0,16,11,49,4.45,0,0,0,0,51.5
77,Jeff Wilson,5,26,9,4,79,294,3.72,2,8,7,31,4.43,0,1,0,2,51.5
78,Demetric Felton,17,23,16,2,7,24,3.43,0,21,18,181,10.06,2,4,0,2,50.5
79,Dare Ogunbowale,26,27,17,2,43,137,3.19,1,21,13,114,8.77,1,0,0,2,50.1
80,Peyton Barber,7,27,10,1,55,212,3.85,2,13,10,67,6.7,0,2,0,2,49.9
81,Chris Evans,3,24,14,1,17,77,4.53,0,17,15,151,10.07,2,0,0,2,49.8
82,Jamycal Hasty,5,25,11,0,16,68,4.25,1,29,23,157,6.83,0,2,1,1,49.5
83,Chris Carson,11,27,4,4,54,232,4.3,3,6,6,29,4.83,0,1,1,3,48.1
